N_repo,Repository,Commits,Assgined,reversable
0,accumulo,13730,S,FALSE
1,activemq,11948,A,FALSE
2,airavata,10354,S,FALSE
3,ant,15009,S,FALSE
4,archiva,8785,S,FALSE
5,aries,5936,R,FALSE
6,beam,43853,A,FALSE
7,bookkeeper,3523,R,TRUE
8,bval,1404,R,TRUE
9,calcite,5956,S,FALSE
10,camel,73637,L,FALSE
11,cassandra,30374,A,FALSE
12,causeway,25838,A,FALSE
13,cayenne,7394,L,FALSE
14,chainsaw,934,A,TRUE
15,chukwa,854,L,TRUE
16,clerezza,2341,A,TRUE
17,click,5009,R,FALSE
18,cloudstack,37347,R,FALSE
19,cocoon,13218,R,FALSE
20,commons-bcel,3045,A,TRUE
21,commons-beanutils,2099,L,TRUE
22,commons-bsf,810,A,TRUE
23,commons-chain,714,S,TRUE
24,commons-cli,1841,A,TRUE
25,commons-codec,2916,A,TRUE
26,commons-collections,4750,A,FALSE
27,commons-compress,5624,A,FALSE
28,commons-configuration,4376,S,FALSE
29,commons-crypto,1861,A,TRUE
30,commons-csv,2712,A,TRUE
31,commons-dbcp,3323,R,TRUE
32,commons-dbutils,1332,A,TRUE
33,commons-digester,2830,R,TRUE
34,commons-email,1737,A,TRUE
35,commons-exec,1359,L,TRUE
36,commons-fileupload,1857,S,TRUE
37,commons-functor,898,R,TRUE
38,commons-geometry,616,S,TRUE
39,commons-imaging,2777,L,TRUE
40,commons-io,5355,L,FALSE
41,commons-jci,927,S,TRUE
42,commons-jcs,2647,L,TRUE
43,commons-jelly,2198,R,TRUE
44,commons-jexl,3449,A,TRUE
45,commons-jxpath,1130,A,TRUE
46,commons-lang,8314,S,FALSE
47,commons-logging,1759,L,TRUE
48,commons-math,7193,A,FALSE
49,commons-net,3757,R,TRUE
50,commons-numbers,1483,L,TRUE
51,commons-ognl,991,A,TRUE
52,commons-pool,3032,S,TRUE
53,commons-proxy,604,R,TRUE
54,commons-rdf,1814,S,TRUE
55,commons-rng,1807,R,TRUE
56,commons-scxml,1901,L,TRUE
57,commons-statistics,889,S,TRUE
58,commons-text,2351,L,TRUE
59,commons-validator,2514,L,TRUE
60,commons-vfs,4248,L,FALSE
61,commons-weaver,600,L,TRUE
62,continuum,4870,A,FALSE
63,crunch,1093,S,TRUE
64,ctakes,143,A,TRUE
65,curator,2849,S,TRUE
66,cxf,18515,A,FALSE
67,datafu,630,A,TRUE
